GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Cynapse Tech,com.mycompany.myapp.domain,Forms,62,109,8,0,22,45,10,28,6,28
Cynapse Tech,com.mycompany.myapp.domain,AbstractAuditingEntity,0,37,0,0,0,17,0,9,0,9
Cynapse Tech,com.mycompany.myapp.domain,User,2,151,1,7,1,49,1,33,0,30
Cynapse Tech,com.mycompany.myapp.domain,Forms_,3,0,0,0,1,0,1,0,1,0
Cynapse Tech,com.mycompany.myapp.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Cynapse Tech,com.mycompany.myapp.domain,User_,3,0,0,0,1,0,1,0,1,0
Cynapse Tech,com.mycompany.myapp.domain,Authority_,3,0,0,0,1,0,1,0,1,0
Cynapse Tech,com.mycompany.myapp.domain,Authority,2,33,1,3,1,10,1,7,0,6
Cynapse Tech,com.mycompany.myapp.security.jwt,JWTFilter,21,30,6,2,3,11,4,3,0,3
Cynapse Tech,com.mycompany.myapp.security.jwt,TokenProvider,73,107,3,3,16,24,5,3,3,2
Cynapse Tech,com.mycompany.myapp.security.jwt,JWTConfigurer,0,18,0,0,0,6,0,2,0,2
Cynapse Tech,com.mycompany.myapp,CynapseTechApp,115,24,6,2,24,10,7,3,3,3
Cynapse Tech,com.mycompany.myapp,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Cynapse Tech,com.mycompany.myapp.service,EmailAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
Cynapse Tech,com.mycompany.myapp.service,UsernameAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
Cynapse Tech,com.mycompany.myapp.service,MailService,7,174,1,1,2,40,1,6,0,6
Cynapse Tech,com.mycompany.myapp.service,InvalidPasswordException,0,4,0,0,0,2,0,1,0,1
Cynapse Tech,com.mycompany.myapp.service,UserService,4,618,7,15,1,177,7,33,0,29
Cynapse Tech,com.mycompany.myapp.service.dto,UserDTO,17,17,0,0,7,6,4,3,4,3
Cynapse Tech,com.mycompany.myapp.service.dto,AdminUserDTO,0,187,0,0,0,58,0,29,0,29
Cynapse Tech,com.mycompany.myapp.service.dto,PasswordChangeDTO,0,26,0,0,0,12,0,6,0,6
Cynapse Tech,com.mycompany.myapp.config,CacheConfiguration,0,97,0,2,0,27,0,10,0,9
Cynapse Tech,com.mycompany.myapp.config,LoggingConfiguration,11,42,4,4,3,12,4,1,0,1
Cynapse Tech,com.mycompany.myapp.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
Cynapse Tech,com.mycompany.myapp.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Cynapse Tech,com.mycompany.myapp.config,WebConfigurer,58,90,7,5,14,25,7,5,1,5
Cynapse Tech,com.mycompany.myapp.config,LiquibaseConfiguration,4,91,1,1,1,23,1,2,0,2
Cynapse Tech,com.mycompany.myapp.config,JacksonConfiguration,0,23,0,0,0,6,0,6,0,6
Cynapse Tech,com.mycompany.myapp.config,StaticResourcesWebConfiguration,70,0,0,0,13,0,7,0,7,0
Cynapse Tech,com.mycompany.myapp.config,DatabaseConfiguration,0,3,0,0,0,1,0,1,0,1
Cynapse Tech,com.mycompany.myapp.config,SecurityConfiguration,0,231,0,0,0,55,0,5,0,5
Cynapse Tech,com.mycompany.myapp.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Cynapse Tech,com.mycompany.myapp.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Cynapse Tech,com.mycompany.myapp.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Cynapse Tech,com.mycompany.myapp.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
Cynapse Tech,com.mycompany.myapp.service.mapper,UserMapper,139,81,16,2,35,25,18,5,9,5
Cynapse Tech,com.mycompany.myapp.web.rest.errors,ErrorConstants,0,16,0,0,0,5,0,1,0,1
Cynapse Tech,com.mycompany.myapp.web.rest.errors,EmailAlreadyUsedException,0,7,0,0,0,2,0,1,0,1
